Statement,Label
SG50: Miss Universe Singapore s costume to be mass produced issued to all primary secondary school students,FALSE
S'poreans apologise to Transport Minister Lui Tuck Yew for causing public transport fares to increase,FALSE
S'poreans apologise to Transport Minister Lui Tuck Yew for causing public transport fares to increase again,FALSE
S'poreans react to Minister Lawrence Wong urging S'poreans to ditch their cars,FALSE
S'porean photographer captures image of aeroplane on Chan Chun Sing s forehead in parliament,FALSE
S'poreans praise photographer for photoshopping Chinatown ladder around pixelated plane,FALSE
S'poreans support plan for Non-Constituency President where the next best loser also gets a seat,FALSE
MPs touched extremely moved by their own speech in Parliament,FALSE
S'poreans react to S'pore-born New Zealand teen who faces jail for avoiding national service call-up,FALSE
Lack of ethnic diversity in terrorist threat ad in S'pore irks all races,FALSE
Fish refutes claim it was sedated said PAP s Koh Poh Koon was the one on general anaesthesia,FALSE
S'pore diners urged not to leave tissue packets unattended as they pose as bomb threats,FALSE
Change S'pore s political system to allow more Chinese men from PAP into Parliament,FALSE
S'poreans react to President Tony Tan s 13th parliament address after swearing in session,FALSE
S'poreans praise Khaw Boon Wan for taking tips from Lui Tuck Yew on how to step down,FALSE
MOE to start charging teachers & students for using school toilets,FALSE
S'porean man charges PM Lee Hsien Loong S$3.20 for 10-minute chat during walkabout,FALSE
S'pore to send Terrex vehicles back to China in a bid to reengage superpower,FALSE
S'poreans feel first Terrex returned by China is a bit pirated,FALSE
S'pore feels quiet like the 1990s as 1 million foreigners go back home for CNY,FALSE
China returning tanks when S'pore turns 65,FALSE
Only PAP can rule S'pore forever,FALSE
East-West line delay part of routine breakdown to keep up with improved reliability,FALSE
Flooding all over S'pore linked to Noah s Ark event,FALSE
S'poreans urge US to please keep Amos Yee,FALSE
Even-numbered lorongs in Geylang to usher in Rooster Year with a bang,FALSE
Upper Thomson Road celebrates 100 years anniversary after 2 once-in-50-years floods occurred,FALSE
SMRT praised for punctuality of train breakdowns,FALSE
S'pore govt is a person because it is always whining like a little bitch,FALSE
Lunch with Sumiko interview marks official end of journalism,FALSE
S'poreans urged to be as resilient as ERP gantries that never break down,FALSE
Is HDB a good investment? Part 2,FALSE
Low birth rate? Don't discriminate against children from single parent families,FALSE
Conversations with Tom Plate transcript of snippets,FALSE
 When will Lee .. ,FALSE
North Korea s cinema of dreams,FALSE
It s okay to skip lecture sometimes,FALSE
Jackpot revenues drive a budget of nice gestures,FALSE
Is HDB a good investment?,FALSE
Spotted in parliament,FALSE
No income no insurance,FALSE
Love of the unromantic kind,FALSE
China s social media copycats find ways around censors,FALSE
Results of writing contest (round two),FALSE
Beware the Octopus,FALSE
Club called Calm Down Now to be launched,FALSE
Outrage over outrage over MCYS ad,FALSE
Vortex to Hell found mainly inside MRT cabins?,FALSE
Why do married women commit adultery?,FALSE
$10000 for a fake private university degree?,FALSE
Indonesian Liverpool fans name hotel Stevie G ,FALSE
Because drink-driving is too mainstream,FALSE
Teenagers jubilant at planned increase in buses,FALSE
DBS customers recount harrowing tales,FALSE
Eight puppies survive Remy Ong accident,FALSE
Misguided: Nationwide campaign to boost social worker numbers,FALSE
Lethal granny loanshark with loansharking equipment caught,FALSE
Reader says Temasek Review Emeritus deserves to be sued,FALSE
Why are people so mad at Remy Ong?,FALSE
S'poreans worried PAP-owned AIM might fold,FALSE
17 stills that make you support Sex.Violence. FamilyValues movie,FALSE
Rich people can't be bothered with Budget 2013 announcements,FALSE
SingTel screws a man s life over,FALSE
Poor people unable to buy cars in 2013 budget,FALSE
Ex-SMRT drivers win all-expenses-paid staycation,FALSE
NTU denies journalism prof tenure deems lectures too well-attended,FALSE
Citizenship test: Five myths you should know if you're Singaporean,FALSE
Overexposed Big Mouth Model is stalking me,FALSE
Vikram Nair to receive a medal of bravery for risking his life,FALSE
Vikram Nair risks his life to park in danger zone,FALSE
4 facts about Singapore s national songs you didn t know,FALSE
Why was Sumiko Tan snubbed at annual SPH editorial awards?,FALSE
SMRT might teach high speed SG-KL train how to operate,FALSE
S'pore facing 3-week dry spell baby-making put on hold,FALSE
S'pore telcos to issue COE for handphones next month,FALSE
S'pore telcos to start charging for every email sent received,FALSE
No news of MRT train disruption this morning makes headline news,FALSE
S'pore s wealthiest 1 percent to undergo Pri 1 Good Citizen syllabus,FALSE
Scientists discover relaxation is relaxing,FALSE
Pasir Ris Camp stray dogs hail NSF whistleblower as S'pore s Edward Snowden ,FALSE
Photo showing S'pore authorities making foreign workers run with scissors sparks international outrage,FALSE
S'poreans apologise to SMRT CEO for causing his trains to frequently break down,FALSE
Alcohol becoming more expensive only makes them tastier alcoholics claim,FALSE
MINDEF increases army food budget combat ration to include Katong laksa tulang,FALSE
Cats in 2nd cat cafe in S'pore taught how to cook serve food valet park,FALSE
Cigarettes alcohol completely sold out as S'pore announces plan to increase taxes from today,FALSE
Civil servant questioned by authorities after buying 4 boxes of pineapple tarts from supermarket,FALSE
Private tutors in S'pore must pass compulsory exams to show mastery of the subjects they teach,FALSE
CPF blogger Roy Ngerng says dress is black & blue after PM Lee said it s white & gold,FALSE
See white and gold? you're a white supremacist. See black and blue? you're racist.,FALSE
Tanjong Pagar GRC residents fail to send much needed Facebook Likes to help Lee Kuan Yew get better,FALSE
Mechanical ventilation machine in ICU continues functioning because of Lee Kuan Yew,FALSE
Channel News Asia clarifies rumours that Lee Kuan Yew has died are not true yet,FALSE
Thank you Google ads for giving money to The Real Singapore to promote hatred,FALSE
Buoyed by franchise s success Jack Neo to shoot Ah Boys To Women 4,FALSE
No Budget goodies in 2015 signal S'pore buying votes holding elections only in 2016,FALSE
Mainstream media defies govt keeps Lee Kuan Yew s hospitalisation secret for 17 days only,FALSE
All races in S'pore agree Thaipusam deserves to be a public holiday because more holidays the merrier,FALSE
S'pore feels less crowded like in the 1990s as 1 million foreigners went back home for CNY,FALSE
Madame Tussauds wax museum confirms Strait Times report: PM Lee s wax figurine had prostate removed ,FALSE
Andy s father wins all of his relatives money at ban-luck during CNY gathering,FALSE
All S'poreans turned into anti-religious heathens after Madonna performed at Sports Hub,FALSE
S'poreans react to some Madonna concert-goers given free seat upgrades at last minute,FALSE
S'pore to install railings all over country to stop foreigners from using island as playground,FALSE
S'pore govt must ensure message by highly religious people confined to highly religious people,FALSE
Govt must ensure no one outside Sports Hub can hear Madonna s concert performance,FALSE
More otters applying to become S'pore permanent residents,FALSE
S'poreans urged to be as resilient as ERP gantries as they never break down,FALSE
Highly religious S'poreans petition Sun Ho to replace Madonna at Sunday s concert,FALSE
Get rid of MacRitchie Reservoir & Upper Thomson private estate for Cross Island Line,FALSE
Madonna SG concert: S'poreans express grave concerns about abuse of children by Catholic priests,FALSE
S'poreans glad SG50 commemorative notes still more valuable than banana notes,FALSE
S'poreans convinced Andy s father responsible for Genting S'pore s S$7.8 million net loss in Q4 2015,FALSE
Highly religious S'poreans vow to change Chingay to Chin-Straight by next year,FALSE
Almost all S'poreans who bought S$13.9 million Toto Hongbao Draw lost slight faith in respective gods,FALSE
S'poreans attach In-Vehicle Unit to forehead to make deducting money easier,FALSE
Build Cross Island Line through MacRitchie Reservoir so Man & Nature can be intertwined,FALSE
S'poreans agree with PM Lee that govt can be criticised as long as it s not critical,FALSE
S'pore needs more naysayers says govt sycophants & apologists,FALSE
S'poreans give up seats for conjoined twins on MRT,FALSE
Culling chickens shows S'pore still has blame culture,FALSE
S'pore to increase cost of living by 30% to raise awareness of importance of life,FALSE
Rainbow splotch in sky signals Lee Kuan Yew s approval of 30% water price increase,FALSE
PAP town councils raise conservancy charges signal next election still 3 years away,FALSE
Renaming Syonan Gallery shows S'poreans have power to effect useless change,FALSE
Renaming S'pore as Syonan-to does not express approval of Japanese Occupation,FALSE
S'poreans wary SG50 red dot logo turning into Japan flag in 2017,FALSE
S'porean man believed girlfriend when she said she didn t want anything for Valentine s Day,FALSE
Cull all birds in S'pore Bird Park as they may spread bird flu,FALSE
Movie review: Let the Bullets Fly,FALSE
Quit playing games for my vote,FALSE
Explaining inflation in Singapore,FALSE
The Holland Village troll,FALSE
Parachute politics in Singapore,FALSE
Don't be hoodwinked: Social media will have limited impact on GE,FALSE
Piping hot candidates roll off the PAP assembly line,FALSE
Crackpot Florida pastor burns Koran after all,FALSE
NTU student recounts experience during Japan earthquake,FALSE
Making disaster porn,FALSE
CNA profiteering from Japan earthquake? Nothing new there,FALSE
Message to Opposition: Don't forget to whack the PAP,FALSE
Apple co-founder Steve Wozniak: Creative Technology? Never heard of it,FALSE
Book Giveaway,FALSE
Singaporeans create smartphone-controlled vibrator,FALSE
You can't cure a militant feminist,FALSE
Singapore aims to be racist hub by 2020,FALSE
500-person human centipede?,FALSE
S'porean man s leg amputated after centipede bite,FALSE
Fellow Singaporeans wake up your idea!,FALSE
PM Lee to receive 2 HDB flats in national bonus ,FALSE
PropertyGuru report 1 HDB report 0,FALSE
Kuwait medal ceremony plays Borat s version of Kazakhstan national anthem,FALSE
Health authorities target shisha smoking with new campaign ,FALSE
CPF Board should change its tagline says labour economist,FALSE
Singaporeans enjoy Mickey Mouse housing,FALSE
Vikram Nair is a ,FALSE
Why Chan Chun Sing s face looked pensive in Parliament?,FALSE
Tessa Wong cures S'poreans of xenophobia,FALSE
Why ST shouldn t report on SPH events,FALSE
10 ways S'pore can mitigate population explosion problem,FALSE
Publication of new LKY 10-volume collection causes epic deforestation,FALSE
Revoke their degrees if they fail to start a family ,FALSE
Kenneth Jeyaretnam bought a brown skirt for $31.90,FALSE
S'pore lauded for providing world class dormitory living,FALSE
Straits Times nourishes your dirty mind,FALSE
Sex.Violence. FamilyValues gets scathing reviews from some cinema-goers,FALSE
Sticker Lady to have a taste of own medicine,FALSE
Low-cost budget travel seducing more foreigners to Singapore,FALSE
Singaporean reject excels in Oxford and Princeton,FALSE
Singaporeans biggest threat to Singapore s growth,FALSE
Ava's questionable routine of killing trapping animals,FALSE
Earth Hour participants throw rubbish on the floor to see how fast it biodegrades,FALSE
S'porean man forgetfully boils kettle of water twice uses up energy conserved during Earth Hour,FALSE
S'porean 1980s babies who grew up playing Tetris have become professional brick layers,FALSE
Non-scholar civil servant exhausted glad workweek with scholars finally over,FALSE
Tutor puts up ad hinting S'pore education system is killing children brutally,FALSE
S'pore to ban cricket indefinitely,FALSE
Professional PETA animal activist forgot to give a f%@k protests in S'pore without permit,FALSE
Giving up land to MBS so soon will arouse suspicion of populace,FALSE
Waterless Songkran festival in S'pore will feature Mango Sticky Rice without rice,FALSE
S'pore researcher discovers expensive alcohol contains crucial anti-rioting properties,FALSE
Perth says she will not take in Jesslyn Tan,FALSE
S'poreans wish Indonesian lady naval officer would terrorise them instead,FALSE
S'poreans thinking twice increasingly convinced Little India riot did not happen,FALSE
Wet weather causing S'poreans to yearn for last month s drought,FALSE
Silent Majority relieved they can go back into hiding now that 7-day Lee Kuan Yew mourning period is over,FALSE
S'poreans request for 1-week public holiday to get over loss of Lee Kuan Yew,FALSE
S'poreans risk letting Lee Kuan Yew down after only 15 police reports made against Amos Yee,FALSE
Loud booming voice heard as rainbow appeared over Marina Barrage: I will take care of you all! ,FALSE
Use your mobile phones during Lee Kuan Yew s state funeral procession and risk disrespecting his legacy,FALSE
Revoke S'porean citizenship of those who did not pay respects to Lee Kuan Yew,FALSE
SMRT East West Line shut down for 30 minutes on Friday evening as mark of respect for LKY,FALSE
Shut down ERP all over S'pore for rest of the year as mark of respect for Lee Kuan Yew S'poreans petition govt,FALSE
Take those who disrespect Lee Kuan Yew to task,FALSE
Shut down casinos on Sunday as mark of respect for Lee Kuan Yew S'poreans petition government,FALSE
Lee Kuan Yew ensures all MPs in attendance for full-house Parliament a first in a long time,FALSE
Government underestimated how much S'poreans love Lee Kuan Yew,FALSE
S'poreans queue 12 hours to pay respects to Lee Kuan Yew: We ve trained hard queuing for Hello Kitty ,FALSE
SMRT train along East West Line observed 20 minutes of silence on March 23 2015,FALSE
S'poreans react to The New Paper blaming cardboard collector for being killed by reversing taxi,FALSE
S'porean man offers to let Takashimaya rent his 3-room HDB flat for $1.50 per square foot,FALSE
Changi Airport to greet passengers Welcome to Uniqlo! as S'pore turns into giant Uniqlo outlet,FALSE
S'poreans confident Uniqlo poised to take over Istana at this rate of expansion,FALSE
S'pore experiments with 28-hour days to give SMRT more time each day to maintain tracks,FALSE
Anti-authoritarian S'poreans rename national football team as Lee Kuan Yew-nited,FALSE
Anti-authoritarian S'poreans purposely worship Lee Kuan Yew to make him cringe,FALSE
S'pore retires letters L K & Y from alphabet into hall of fame to honour Lee Kuan Yew,FALSE
Highly religious S'poreans accuse zookeepers of watching pandas mate for own gratification,FALSE
NSF unable to do 5 push-ups in a row due to unforeseen allergic reaction to exercise,FALSE
S'poreans react to man who insists on blowing bubbles in MRT station even when told to stop,FALSE
Shut down ERP all over S'pore for rest of the month as mark of respect for Lee Kuan Yew,FALSE
Check out this tribute to Lee Kuan Yew: Chia Thye Poh written in red in font size 200,FALSE
Lack of Lee Kuan Yew Day public holiday a stain on his legacy,FALSE
S'poreans must feel the full price of ministerial salaries,FALSE
S'pore increasing cost of electricity to raise awareness of its importance,FALSE
Scientists discover Tan Cheng Bock has traces of Peranakan blood,FALSE
Changi Airport greets passengers Welcome to Uniqlo! as S'pore becomes giant Uniqlo outlet,FALSE
4 British men returning to S'pore 75 years after Japanese Occupation,FALSE
Give grassroots RC volunteers free HDB flat as benefit recognition,FALSE
Unfair for S'pore shopping centres to be female-centric: AMARE,FALSE
Not good for SUTD to have the letters STD inside,FALSE
New exciting mall SingPost Centre having same shops as previously new exciting mall,FALSE
S'pore feeling ignored sending Terrex vehicles back to China to reengage superpower,FALSE
Thousands of S'poreans still gay despite watching heterosexual scenes for years,FALSE
Highly religious S'poreans urge one another to turn the other cheek to Amos Yee,FALSE
Maid abusers in S'pore come from good families,FALSE
S'poreans see through Amos Yee s plan: Do anything just to get out of NS,FALSE
Small but loud crowd roots for Cedric Foo at Pioneer SMC,FALSE
Virgin voter flies back from America,FALSE
George Yeo soon to be jobless?,FALSE
Stuck in Switzerland,FALSE
Bikers in white back PAP,FALSE
GE results,FALSE
Singapore Democratic Party sends mixed message,FALSE
Nicole Seah: Ground is sweet looking forward to competition,FALSE
When importing contact lists into social networks is a bad idea,FALSE
Whose coattails would you ride on?,FALSE
Vote out of belief not fear,FALSE
Do youths care about politics? Should they?,FALSE
Confessions of the Virgin Voters,FALSE
Apparent suicide at Sembawang MRT station,FALSE
The Straits Times and the language of a jilted lover,FALSE
Leave the Internet alone,FALSE
Singapore s domestic economy is unsustainable has low efficiency,FALSE
Have a piece of the most ridiculous condo in town,FALSE
Illustration: A S'porean s life on wheels,FALSE
A badass Chinaman,FALSE
Haters are going to hate Alvin Wang,FALSE
Traffic jams are a security threat,FALSE
Nat Ho s unleashed': yes it sucks.,FALSE
How do we know Singapore s film censors are not perverts?,FALSE
EPIC FAIL moment: Some Singaporeans suck at using Facebook,FALSE
Sure sign the economy is doing well,FALSE
Help this 21-year-old get into NUS!,FALSE
George Yeo now working in Myanmar,FALSE
 S-E-X-Y is how women spell Nizam Ismail s name,FALSE
More graduates to become road sweepers,FALSE
M Ravi still S'pore s no. 1 human rights lawyer,FALSE
Stray dog saved by Hougang s democracy,FALSE
Yale-NUS profs to undergo further training to be Singaporeanised,FALSE
12 things the Singapore Shiok video campaign missed,FALSE
Junior college students act as pretend ministers on Earth Day,FALSE
Unintentional porn ensues when S'pore clubs run out of cups,FALSE
Tourists excited to see S'poreans protesting,FALSE
Outraged citizens demand death penalty for war memorial vandal,FALSE
May Day protest could attract 1 million people,FALSE
Ho Ching mistaken for tea lady at Shangri-La,FALSE
Government bans 69 sexual position,FALSE
Original complainant of Demon-cratic Singapore comics accused of sedition,FALSE
S'pore LGBT community ecstatic Goldman Sachs is recruiting them,FALSE
AMARE: Unfair for shopping centres to be female-centric,FALSE
Obama temporarily barred from Air Force One due to durian-breath,FALSE
M sian bomoh photobombs presidential selfie proves critics wrong impresses CIA,FALSE
AMARE: Not giving benefits to NSmen same as closing down shopping centres to women ,FALSE
S'poreans blame foreigners for xenophobia,FALSE
Thousands of S'poreans took leave to stay home to buy Hello Kitty toy online,FALSE
S'pore will celebrate Aug. 9 National Day in all 196 countries around the world,FALSE
M sia to celebrate their independence day at Orchard Road too,FALSE
Only tissue packets bought from NEA-licensed peddlers can be used to chope tables,FALSE
Indonesia apologises to S'pore PM Lee sends Friend Request to Susilo Bambang Yudhoyono,FALSE
S'poreans urge PAP to be more populist say they can'take it,FALSE
Trees plants shedding flowers in S'pore fined for littering,FALSE
S'poreans confused why S'pore Airlines will sign sponsorship agreement with Formula One,FALSE
S'poreans not surprised if the guy in red shirt who slapped Amos Yee turned out to be his bailor,FALSE
SMRT Ltd (Feedback) voted top 300 most influential in S'pore beside PM Lee Hsien Loong,FALSE
Donating kidney to stranger instead of doing magic show is a true display of one s religious tenets S'poreans say,FALSE
S'pore start-up pairs maids up with available NS enlistment slots reservist call-up duty,FALSE
Working mums all over Singapore moved to sacrifice sleep spend more time with children,FALSE
Fake degree mills earn street cred after its graduates successfully find employment in S'pore,FALSE
Changi Airport to be renamed Subramanian Shanmuganathan Airport in honour of heroic foreign worker,FALSE
IKEA S'pore is the epitome of pro-diversity: They didn t discriminate against gay-bashing homophobe,FALSE
Singtel M1 & StarHub subscribers optimistic 4th telco can provide equally bad service to further level playing field,FALSE
S'pore-made movie Unlucky Plaza to inflict critical thinking on S'poreans using unchaste woman pastor & Pinoy,FALSE
Amos Yee held in remand was the best thing that happened to his prison cell mates in a while,FALSE
Conservative religious S'poreans say failure to finish inside female panda proves male panda Kai Kai is gay,FALSE
Conservative S'poreans shoot back at LGBT community: How is this not gay?,FALSE
Realisation that IKEA s Shelf Help Guru might be gay sends shock waves across conservative religious community in S'pore,FALSE
PAP Murali getting elected will open doors for part-timers in S'pore to get full-time pay,FALSE
SMRT affirms commitment to reliable revenue generation after making S$109.3 million profits,FALSE
S'poreans react to Integrity school banner at Bukit Batok by-election nomination centre,FALSE
S'poreans react to suggestion of paying $400 a month for HDB parking,FALSE
Ex-SMRT CEO Saw Phaik Hwa reportedly arm cheo for several hours,FALSE
SMRT lowers target from 100 disruption-free days to 4 disruption-free days,FALSE
Khaw Boon Wan takes out diary scribbles furiously: 100 days start today ,FALSE
MRT gantries affirm commitment to be reliable even during power disruptions,FALSE
Bukit Batok residents lay out 5-year plan for next MP elected to be in charge of SMC,FALSE
Highly religious S'poreans disgusted zookeepers watched pandas mate,FALSE
2 breakdowns in a day sees MRT behaving normally again after 100 disruption-free days,FALSE
MRT more reliable as breakdowns happen regularly instead of unpredictably,FALSE
Upcoming by-election causes Bukit Batok residents to run out of problems,FALSE
S'poreans react to PM Lee saying Israel s story resonates with inspires S'poreans ,FALSE
S'poreans disappointed Cabinet meeting has long table but no cabinet,FALSE
Henry Thia named Acting Transport Minister after Cabinet reshuffle,FALSE
S'poreans must try death penalty before being for or against it,FALSE
Amos Yee s arrests show S'pore s commitment to light-touch Internet approach,FALSE
Argentina to beat S'pore 52-0 as part of SG52 celebrations,FALSE
Hawker centres set aside reserved tables for idiot S'poreans,FALSE
S'poreans merge Korean kimchi with Japanese mochi to make kimochi,FALSE
S'porean children warn Shanmugam & Donald Low: Don't be childish stop fighting ,FALSE
S'poreans rushing to Artbox a sign mature democracy not needed in S'pore,FALSE
Pioneer Generation warns unruly S'poreans: Don't f**k with us we ll break you ,FALSE
Toa Payoh couple revealed as aged 46 & 39 ruined Young people are horrible narrative,FALSE
Parking coupons must be used to chope seats at food centres,FALSE
Changi Airport Terminals 1 2 & 3 to merge,FALSE
Hawker centres set aside reserved tables for ill-mannered S'poreans,FALSE
Latest from Twitterland: Our next President,FALSE
Be thankful for 50 years of white,FALSE
How politicians can get started on new media,FALSE
Tip for the PAP: Build a church,FALSE
Is your degree worth as much as your connections?,FALSE
Lee Kuan Yew: Not easily ditched,FALSE
Our views on MM Lee and SM Goh s exit,FALSE
Tyra Banks yells at Lee Kuan Yew,FALSE
Book Review: Miss Seetoh in the World,FALSE
My wishlist for Singapore politics,FALSE
Why Gerald Giam should be NCMP,FALSE
Mending a broken Potong Pasir,FALSE
Post coitus care: What happens after the climax?,FALSE
PAP be warned,FALSE
Super gracious Straits Times to pocket money raised in charity auction,FALSE
New Nation donates $0.50 to Straits Times charity account,FALSE
Flies in Beijing to be evicted from public toilets,FALSE
PAP rallies drew infinitely larger crowds this by-election,FALSE
Hair from their ears will cause my asthma attacks to worsen! ,FALSE
No political intentions: New Nation,FALSE
Lady Gaga must learn from Christian singing legend Eric Moo,FALSE
Our conscience is clear says Lianhe Zaobao editor ,FALSE
Towards A First World Problem: Cars and work,FALSE
Singapore must ban Lady Gaga,FALSE
Teo Chee Hean advises Low Thia Khiang to seek legal recourse ,FALSE
Opposition supporters thank Teo Chee Hean for his help,FALSE
Crying increased Desmond Choo s votes by 3 percent,FALSE
How to dance in a club,FALSE
MDA backpedals succumbs to public backlash,FALSE
MDA staff suffering massive backlash in offline world,FALSE
MDA required to obtain $5 million license from New Nation,FALSE
Some Singaporeans skipping sex for free MRT rides,FALSE
City Harvester suffers from persecution complex,FALSE
MDA $50000 licensing: Authorities turning its trust into thrusts,FALSE
S'poreans mock inSing News for failing to make it into MDA top 10 list,FALSE
Sneaky pinoys push PAP propaganda film to win at Cannes,FALSE
Petty politicking causes S'poreans to live longer,FALSE
President Tony Tan to visit Brunei to unite S'poreans,FALSE
S'poreans worried cleaners will lose job refuse to clear their own tray,FALSE
Lim Swee Say commits political faux pas,FALSE
Rock concert experience better through a filter: audience,FALSE
S'porean guy sings for free ice cream coffee oyster,FALSE
NSF recruits say monthly SAF allowance of $480 is not derisory enough ,FALSE
Rural Southeast Asian villagers to send students to S'pore for Overseas Community Service experience,FALSE
Highly paid politicians argue over meaning of word,FALSE
Blogger to pay $5000 in damages in monthly payouts of $50 after PM Lee turns 65,FALSE
S'poreans fall in love with PAP MP Inderjit Singh after he whack PAP in Facebook note,FALSE
Poor S'poreans agree public transport should be lousy as this is what they deserve,FALSE
Rising cost of living forces old man to continue working,FALSE
S'poreans First Party borrows Wall s ice cream logo,FALSE
Wall s ice cream has potential copyright violation lawsuit to file against S'poreans First Party,FALSE
Today newspaper s spell check spoil editor gallivanting somewhere,FALSE
Swift arrests of Toa Payoh rooftop spray paint vandals caused latest vandal to use black marker instead,FALSE
Environment Minister Vivian Balakrishnan to deliver bigger envelop to Indonesia this year to stop haze,FALSE
S'pore to introduce Mandate of Heaven during GE2015,FALSE
S'pore to introduce Mandate of Heaven during next elections,FALSE
Man consciously interrupts dread of starting work with assurances that he s enjoying remainder of long weekend,FALSE
S'poreans react to fatal shooting near Shangri-La Hotel,FALSE
PM believing 19-year-old can pull off plot to kill him signals his security officers need to address his emotional insecurities,FALSE
Self-sufficient S'poreans start their own parliament to rely less on ruling govt,FALSE
Self-sufficient S'poreans so self-reliant they start their own parliament,FALSE
Full stop still more popular than comma in S'pore,FALSE
US proposes air strikes on Fifa,FALSE
Cat defeats ex-NMP Calvin Cheng in political debate,FALSE
NDP 2015 theme song music video disrespects Lee Kuan Yew by only featuring microsecond footage of him,FALSE
Overweight rat seen in world famous photo claims camera adds 12kg,FALSE
Overweight rat seen in world famous photo claims camera adds 13kg,FALSE
Overweight rat seen in world famous photo claims camera adds 14kg,FALSE
Overweight rat seen in world famous photo claims camera adds 15kg,FALSE
Overweight rat seen in world famous photo claims camera adds 16kg,FALSE
Parents in S'pore assured: Every school is a haunted school,FALSE
S'poreans disappointed Amos Yee not doing enough to avoid NS call-up,FALSE
